bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
38,300.05,0.0,34.9818066125,90.56937091250003,115.28786637124998,169.1935532187499,240.36885975,30.005000000000003,84.44430189671638,42.901826260696716,28.78989712570189,3.975,2.0,1.7,33.742020063133296,31.445233025928236,50.0,33.329984766390886,34.59842507408202,28.965690790558206,50.0,12.448828125,4.31845703125,4.05478515625,2.4468739827473955,1.6868972778320312,1.8834686279296875
39,300.125,0.0,31.6600879625,79.6308854425,106.01940825125003,152.8288958739999,214.76359480000002,30.0125,84.87841314001886,43.285441403959894,28.96591529387755,3.975,2.0,1.7,32.66352400975096,30.724546379484753,50.0,32.08842913086302,33.85821011993458,28.344681771942625,50.0,12.40478515625,4.333203125,4.0619140625,2.4379603068033857,1.692657470703125,1.8865203857421875
40,300.225,0.0,24.977440299999998,87.72632344000007,114.0620811775,168.47474508350007,222.223928075,30.0225,85.11403826651565,43.56905504483727,29.24434539727007,3.975,2.0,1.7,31.743579918624597,29.82925452715627,50.0,31.249987351387357,32.780930287443425,27.62927913875461,50.0,12.41025390625,4.34189453125,4.06875,2.438977559407552,1.6960525512695312,1.8886947631835938
41,300.575,0.0,8.703982575000001,33.083203002500014,49.65391095375005,93.78891284974995,148.026115975,30.057499999999997,85.31591402645917,43.828886225089924,29.333055841641986,3.975,2.0,1.7,30.649575938750598,29.15272324992002,50.0,29.997311015159617,31.99137971449175,27.048384462065258,50.0,12.40458984375,4.359765625,4.06826171875,2.43777592976888,1.703033447265625,1.8878936767578125
42,299.85,0.0,8.7147386125,18.311749967500013,27.74562146125,56.755065723749944,85.91539125,29.985000000000003,85.2522303540198,43.73025438378481,29.391154176223818,3.975,2.0,1.7,30.032601451284187,28.593249183928464,50.0,29.457713629071794,31.237078670647225,26.63733204976425,50.0,12.37763671875,4.3322265625,4.07314453125,2.4327659606933594,1.6922760009765625,1.8928146362304688
43,300.075,0.0,8.60855235,17.407920780000005,29.894580890000004,67.02396183424993,112.3212035,30.0075,84.7979062625564,43.646415480216284,29.248608490966387,3.975,2.0,1.7,29.50675742978612,28.248255572833944,50.0,28.764533022792524,31.010964104237047,26.20537895893991,50.0,12.28603515625,4.345703125,4.0572265625,2.4149640401204424,1.697540283203125,1.8834304809570312
44,300.025,0.0,8.563583099999999,13.274696005000001,20.91178870000001,50.39128802449996,77.5347913,30.002499999999998,84.27106081389113,43.50008974729577,28.99732246592938,3.975,2.0,1.7,29.17679868853902,28.03342630258731,50.0,28.42655996782767,30.706082932052265,26.079216501379126,50.0,12.25087890625,4.3458984375,4.0599609375,2.4079958597819013,1.6976165771484375,1.884613037109375
45,299.975,0.0,8.549695375,13.044572352500003,20.45118021000001,49.691056307499935,93.40601605,29.997500000000002,83.13688324671372,43.04307180140471,28.85536071477089,3.975,2.0,1.7,29.015351051721012,27.778866128043273,50.0,28.369581997863747,30.34076342768352,25.95261423776872,50.0,12.26123046875,4.35556640625,4.05927734375,2.4099795023600263,1.7013931274414062,1.8822097778320312
46,299.975,0.0,8.541071262500001,13.61792331,21.709403855000012,51.849306616499895,90.165824675,29.997500000000002,82.24085934895074,42.565204504659604,28.59430742751719,3.975,2.0,1.7,29.05272826895358,27.99062544108842,50.0,28.220497825908968,30.749578449942486,25.942887757737644,50.0,12.2552734375,4.33583984375,4.08994140625,2.40875244140625,1.6936874389648438,1.90032958984375
47,299.825,0.0,8.5386109625,12.43144604,17.98378644000001,47.21308156024996,83.2373287,29.982499999999998,81.33205034127138,42.40290805256567,28.190537546819407,3.975,2.0,1.7,29.09964473535863,27.872699700052646,50.0,28.34067111508196,30.64945741530625,25.687603309126967,50.0,12.2548828125,4.33466796875,4.06943359375,2.408701578776042,1.6932296752929688,1.8920135498046875
