ts,time_iso,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
1773058645,2026-03-09T12:17:25Z,71.99918717889886,35.97401121122174,23.229366739199516,4.0,2.0,2.0,47.643815550506105,39.97178223170892,50.0,47.67420964876926,47.58302735397979,32.360537109438056,50.0,11.81640625,4.21484375,4.7265625,2.307891845703125,1.64642333984375,1.8463134765625
1773058660,2026-03-09T12:17:40Z,79.67906077774575,40.0641838678304,25.990588592450656,4.0,2.0,2.0,50.17765001925473,42.63893692822528,50.0,50.11482411880629,50.30330182015159,34.97457203629896,50.0,11.6328125,4.1796875,4.7890625,2.27203369140625,1.6326904296875,1.8707275390625
1773058675,2026-03-09T12:17:55Z,87.53213275115624,43.906324800891646,28.977036268758397,4.0,3.0,2.0,45.28007416664632,35.76916171058177,50.0,52.51893970786553,35.62825344502071,35.98052410892336,50.0,11.6484375,6.99609375,4.66796875,2.27508544921875,1.8218994140625,1.82342529296875
1773058690,2026-03-09T12:18:10Z,95.38499715030028,48.09161063849412,32.41916386060758,4.0,3.0,2.0,47.54034837472643,38.29345468063386,50.0,55.10017930956661,37.46057379493951,39.54277600917536,50.0,11.296875,5.6328125,4.765625,2.2064208984375,1.4668782552083335,1.861572265625
1773058705,2026-03-09T12:18:25Z,103.1017068588471,54.067127702119315,35.237769200890106,4.0,3.0,2.0,51.15518357831043,42.43694943012051,50.0,57.76397448978599,42.34346236300967,42.57718003078676,50.0,12.2734375,5.9453125,4.87109375,2.39715576171875,1.5482584635416665,1.90277099609375
1773058720,2026-03-09T12:18:40Z,108.40906943367463,56.87760792641468,36.40033232817654,4.0,3.0,2.0,52.97646710746826,43.09601201467999,50.0,60.183545089048366,43.36702979869479,42.689485338657796,50.0,11.8671875,5.9921875,4.85546875,2.31781005859375,1.5604654947916665,1.89666748046875
1773058735,2026-03-09T12:18:55Z,113.85341673943458,61.27451546461386,39.155795023167556,6.0,3.0,2.0,43.61704596030864,46.87529561450099,50.0,41.81788985428847,47.215358172348985,46.36520177772901,50.0,16.39453125,5.765625,5.1796875,2.13470458984375,1.50146484375,2.0233154296875
1773058750,2026-03-09T12:19:10Z,119.45229758404392,63.73678436734069,40.728292856453905,6.0,3.0,2.0,44.32256288694133,46.349786319326256,50.0,43.09849236120877,46.77070393840646,45.718409890705956,50.0,13.30078125,5.765625,5.00390625,1.73187255859375,1.50146484375,1.95465087890625
1773058765,2026-03-09T12:19:25Z,122.81493122068332,66.860247165411,43.68089313764431,6.0,3.0,2.0,43.99473479496848,47.52331177159208,50.0,42.18905609194887,47.6060922010077,47.39914112746863,50.0,14.015625,6.0546875,4.83203125,1.824951171875,1.5767415364583333,1.88751220703125
1773058780,2026-03-09T12:19:40Z,129.788770030918,70.33114250916117,46.21742177973427,6.0,3.0,2.0,44.955734156382206,48.14210119272831,50.0,43.722319902849755,47.42256266344714,49.22140898665007,50.0,13.8515625,6.2890625,4.7734375,1.8035888671875,1.6377766927083333,1.8646240234375
1773058795,2026-03-09T12:19:55Z,133.94134481932252,73.19539660849988,48.03188919118914,6.0,3.0,2.0,45.20388294335733,48.7377003028537,50.0,43.37454399748265,48.8625608351067,48.55040950447419,50.0,14.21484375,5.94921875,4.98046875,1.85089111328125,1.5492757161458335,1.94549560546875
1773058810,2026-03-09T12:20:10Z,136.5046742308117,74.21460761857813,49.782910426141555,6.0,3.0,2.0,44.668684086473895,48.45249884795499,50.0,43.06199538351891,47.88206149238386,49.30815488131171,50.0,13.63671875,5.8984375,5.140625,1.7756144205729167,1.5360514322916665,2.008056640625
1773058825,2026-03-09T12:20:25Z,136.6939663812122,74.95996019940662,50.316457733776545,6.0,3.0,2.0,42.816936167537925,46.12534916139867,50.0,41.62429842396078,45.20221165469224,47.5100554214583,50.0,13.640625,5.90625,5.015625,1.776123046875,1.5380859375,1.959228515625
1773058840,2026-03-09T12:20:40Z,130.817603980259,72.47145802872097,49.21635971516246,6.0,3.0,2.0,39.32413118783478,44.418506414828315,50.0,37.49397074425582,42.98445207499269,46.56958792458176,50.0,13.1796875,5.6796875,5.00390625,1.7161051432291667,1.4790852864583335,1.95465087890625
1773058855,2026-03-09T12:20:55Z,125.5492414283782,70.26947433323802,47.47695340348104,6.0,3.0,2.0,33.453401815167865,37.12251184738682,50.0,31.955272131353308,36.44966118279699,38.13178784427157,50.0,13.1796875,5.6796875,5.00390625,1.7161051432291667,1.4790852864583335,1.95465087890625
1773058870,2026-03-09T12:21:10Z,120.22042821201264,67.44287404323305,45.73454202120668,6.0,3.0,2.0,27.673289810318597,32.708856079200956,50.0,25.392900897258453,32.23406763643889,33.42103874334405,50.0,13.1796875,5.6796875,5.00390625,1.7161051432291667,1.4790852864583335,1.95465087890625
1773058885,2026-03-09T12:21:25Z,114.92172879967785,65.03799415465137,44.15943924184704,6.0,3.0,2.0,22.678371580049685,25.30866015223692,50.0,21.021144757201455,25.992825225746152,24.282412541973066,50.0,13.1796875,5.6796875,5.00390625,1.7161051432291667,1.4790852864583335,1.95465087890625
