[INFO] Loading HPA1 runs (40 iterations)...
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_122428.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_133155.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_144542.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_155219.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_165823.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_180527.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_191202.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_205816.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_220534.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_231431.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_002120.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_012826.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_023528.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_034226.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_051444.csv
