ts,time_iso,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
1773056966,2026-03-09T11:49:26Z,75.47252330712006,38.954986518269315,27.88803010103566,4.0,4.0,2.0,33.42481050023122,25.491915239800022,25.0,25.0,50.0,44.14987836430643,22.699742636156,31.07626044708806,50.0,10.86328125,6.97265625,4.76171875,2.121734619140625,1.361846923828125,1.86004638671875
1773056981,2026-03-09T11:49:41Z,80.75516640945563,42.13605006870308,29.818598649817616,4.0,4.0,2.0,33.08880910339247,25.26884839367975,25.0,25.0,50.0,44.121049969576525,22.056568237208413,31.693408706622428,50.0,11.484375,7.12109375,4.8203125,2.2430419921875,1.390838623046875,1.8829345703125
1773056996,2026-03-09T11:49:56Z,88.7056472982706,45.67628926810654,32.08635569834655,4.0,4.0,2.0,34.61793122864362,27.143904791445316,25.0,25.0,50.0,45.05688499869356,24.17897745859369,33.07375945714857,50.0,11.921875,6.9921875,4.921875,2.3284912109375,1.36566162109375,1.922607421875
1773057011,2026-03-09T11:50:11Z,97.05035658969645,50.92873171830095,35.28267877771516,4.0,4.0,2.0,38.13666940899157,29.19333349988125,25.0,25.0,50.0,49.92888445998355,26.344454357999602,34.891091783644534,50.0,11.8203125,7.23828125,4.98046875,2.30865478515625,1.413726806640625,1.94549560546875
1773057026,2026-03-09T11:50:26Z,104.7981876900166,54.40442224224054,38.335315480483544,4.0,4.0,2.0,39.99461605078984,30.741693263401842,25.0,25.0,50.0,52.49265249102626,27.496579610553418,37.23192056909868,50.0,14.44140625,7.140625,4.96484375,2.820587158203125,1.3946533203125,1.93939208984375
1773057041,2026-03-09T11:50:41Z,107.77980853940171,58.594706311200646,40.026688870460035,5.0,4.0,2.0,37.44921035354582,33.40844998006215,25.0,25.0,50.0,43.3636299427835,30.056185866998742,40.11297820618896,50.0,13.00390625,7.203125,4.98046875,2.0318603515625,1.4068603515625,1.94549560546875
1773057056,2026-03-09T11:50:56Z,116.79973763340806,61.56508001942786,42.182046033515455,5.0,4.0,2.0,40.64000735548914,35.28423934109091,25.0,25.0,50.0,47.373366140850884,32.22330887378696,41.40610027569879,50.0,12.9453125,7.26171875,5.13671875,2.022705078125,1.418304443359375,2.00653076171875
1773057071,2026-03-09T11:51:11Z,121.88123199616422,64.33600551006326,44.50349900931123,5.0,4.0,2.0,42.284168616050216,36.89058357688215,25.0,25.0,50.0,49.53215783037672,33.224182098142094,44.22338653436227,50.0,12.59375,7.3515625,5.0234375,1.9677734374999998,1.43585205078125,1.9622802734375
1773057086,2026-03-09T11:51:26Z,127.9200747467141,67.12123024203254,44.9680396502589,5.0,4.0,2.0,46.27182088705633,40.59285975818715,25.0,25.0,50.0,54.23786313504221,36.314268077074004,49.15004312041344,50.0,14.02734375,7.28515625,5.16015625,2.1917724609375,1.422882080078125,2.01568603515625
1773057101,2026-03-09T11:51:41Z,132.30256614451955,70.16303686655267,48.79991722259534,5.0,4.0,2.0,48.811947957522946,42.99116303474411,25.0,25.0,50.0,57.34349934929778,38.14750871780442,52.67847166862348,50.0,13.11328125,7.4609375,5.12890625,2.0489501953125,1.45721435546875,2.00347900390625
1773057116,2026-03-09T11:51:56Z,135.8291405375484,72.51374447697987,50.14881399979329,5.0,4.0,2.0,49.872175540063665,43.74316532296045,25.0,25.0,50.0,59.030431406516925,38.424355706997105,54.38078455488713,50.0,13.15234375,7.60546875,5.078125,2.0550537109375,1.485443115234375,1.983642578125
1773057131,2026-03-09T11:52:11Z,142.40074698375167,77.08384521032124,51.99831579337455,5.0,4.0,2.0,52.71240976181468,47.450596815923404,25.0,25.0,50.0,60.759976011239225,42.652951950034016,57.045886547702196,50.0,13.87890625,7.46875,5.0234375,2.1685791015625,1.458740234375,1.9622802734375
1773057146,2026-03-09T11:52:26Z,142.7306754585871,79.48256021808952,53.307288912040725,5.0,4.0,2.0,52.58822990020384,48.05612385739445,25.0,25.0,50.0,60.51774528955636,42.67633566351322,58.81570024515689,50.0,18.56640625,7.73046875,7.7421875,2.9010009765625,1.509857177734375,3.0242919921875
1773057161,2026-03-09T11:52:41Z,134.86496104824397,75.77084679144413,51.45550930225658,7.0,4.0,3.0,40.3801018891943,39.197681058144,25.0,25.0,50.0,44.75014661938876,41.33188145036375,40.409990079671296,50.0,14.0390625,7.48828125,7.08984375,1.5668596540178572,1.462554931640625,1.8463134765625
1773057176,2026-03-09T11:52:56Z,129.6031133847903,73.81920576534371,49.65949150530837,7.0,4.0,3.0,35.46024625411451,34.56142739777633,25.0,25.0,50.0,39.155006567868625,36.24999916111438,35.462821907367406,50.0,14.0390625,7.48828125,7.08984375,1.5668596540178572,1.462554931640625,1.8463134765625
1773057191,2026-03-09T11:53:11Z,124.29422179961442,70.85665728435521,47.75856990485525,7.0,4.0,3.0,30.254372039400902,29.420891000959486,25.0,25.0,50.0,33.887264512031805,31.206733873856646,30.246957194327468,50.0,14.0390625,7.48828125,7.08984375,1.5668596540178572,1.462554931640625,1.8463134765625
1773057206,2026-03-09T11:53:26Z,119.12449805530619,68.43031717004948,45.8176110077505,7.0,4.0,3.0,24.11398863843966,23.173931415132003,25.0,25.0,50.0,27.99289039984724,24.65256427349986,24.659784917912628,50.0,14.0390625,7.48828125,7.08984375,1.5668596540178572,1.462554931640625,1.8463134765625
